Player,Age,Team,Position,Games,Games Started,Minutes Played,Field Goals,Field Goals Attempts,FG%,3-Point FG,3-Point FG Attempts,3P%,2-Point FG,2-Point FG Attempts,2P%,Effective FG%,Free Throws,Free Throws Attempts,Free Throw%,Offensive Rebounds,Defensive Rebounds,TRB,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Bones Hyland,24.0,LAC,PG,12.0,0.0,11.4,2.5,6.1,0.411,1.9,4.3,0.442,0.6,1.8,0.333,0.568,1.3,1.5,0.833,0.3,0.8,1.1,1.2,0.9,0.3,1.3,1.3,8.2
Brandin Podziemski,21.0,GSW,SG,25.0,8.0,24.5,3.2,8.1,0.396,1.0,3.7,0.258,2.2,4.4,0.514,0.455,0.9,1.2,0.733,1.0,3.6,4.6,3.5,0.8,0.3,1.2,1.6,8.2
A.J. Green,25.0,MIL,SG,24.0,3.0,21.1,2.7,5.7,0.478,2.5,5.2,0.476,0.3,0.5,0.5,0.695,0.2,0.3,0.833,0.2,2.0,2.1,1.0,0.5,0.1,0.7,2.1,8.1
Nikola Jović,21.0,MIA,PF,15.0,8.0,18.6,2.9,6.1,0.467,1.1,3.1,0.348,1.8,3.1,0.587,0.554,1.3,1.8,0.741,0.5,3.2,3.7,1.3,0.9,0.1,0.5,1.4,8.1
Tristan Da Silva,23.0,ORL,SF,25.0,18.0,23.7,3.0,7.3,0.418,1.2,3.6,0.337,1.8,3.7,0.495,0.5,0.7,1.0,0.708,1.0,2.5,3.6,1.4,0.4,0.2,0.8,1.5,8.0
Brice Sensabaugh,21.0,UTA,SF,20.0,0.0,16.6,2.8,6.1,0.459,1.7,4.0,0.413,1.2,2.1,0.548,0.594,0.7,0.8,0.867,0.7,1.8,2.4,1.2,0.6,0.1,1.6,1.1,7.9
Jalen Smith,24.0,CHI,C,25.0,1.0,15.4,2.7,5.9,0.456,1.2,3.3,0.366,1.5,2.6,0.569,0.558,1.3,1.7,0.786,1.4,3.9,5.4,0.8,0.4,0.8,0.6,1.6,7.9
Andre Drummond,31.0,PHI,C,21.0,13.0,20.5,3.1,6.0,0.52,0.0,0.4,0.125,3.1,5.7,0.546,0.524,1.5,2.6,0.574,3.0,5.5,8.6,0.5,1.4,0.4,1.8,2.4,7.8
Garrison Mathews,28.0,ATL,SG,19.0,1.0,18.1,2.3,5.2,0.434,1.9,4.4,0.446,0.3,0.8,0.375,0.621,1.4,1.6,0.839,0.2,0.9,1.1,1.4,0.7,0.2,0.5,1.8,7.8
Taurean Prince,30.0,MIL,SF,25.0,25.0,26.6,2.8,5.8,0.479,1.9,3.6,0.516,0.9,2.1,0.415,0.642,0.4,0.5,0.846,0.6,3.5,4.2,1.8,0.8,0.2,1.1,2.0,7.8
Day'Ron Sharpe,23.0,BRK,C,6.0,0.0,15.2,2.5,5.8,0.429,0.3,1.5,0.222,2.2,4.3,0.5,0.457,2.5,2.7,0.938,2.0,2.7,4.7,0.8,1.2,0.3,1.3,1.8,7.8
Ausar Thompson,22.0,DET,SF,8.0,3.0,17.0,3.1,7.3,0.431,0.5,2.0,0.25,2.6,5.3,0.5,0.466,1.0,1.9,0.533,1.1,2.5,3.6,2.4,0.9,0.5,1.5,3.0,7.8
